Package,dataset_title
A3,Ecosystem Multifunctionality
A3,Boston Housing Prices
ABC.RAP,test dataset of 450k DNA methylation
ABC.RAP,annotation file for the 450k probes
ABC.RAP,450k DNA methylation non specific probes
ABCanalysis,SwissInhabitants in 1900
ABCp2,Sperm Precedence Data from the Soapberry Bug
ABCp2,Sperm Precedence Data from the Fungus Beetle
ABCp2,Sperm Precedence Data from the Rough-Skinned Newt
ABCp2,Sperm Precedence Data from the Rove Beetle
abcrf,A simulated example in population genetics
abcrf,A simulated example in population genetics
abctools,Examples of coalescent data
abctools,Examples of coalescent data
abd,'abd' Data Sets
abd,Inbreeding in Wolves
abd,Endangered and Threatened Species
abd,Time to Reproduction in Female Lions
abd,2D:4D Finger Ratio
abd,Vampire Bat Bites
abd,Biomass Change in Rainforests near Clearcuts
abd,Temperature Change and Meal Size in Rattlesnakes
abd,Firefly Flash Duration
abd,Effects of Trimethadione on Lifespan in Nematodes
abd,Electric Fish
abd,Grassland Diversity
abd,Walking Stick Femur Length
abd,Earthworm Diversity and Soil Nitrogen Levels
abd,Human Gene Lengths
abd,GnRH Levels in Cichlids
abd,Primate Metabolic Rates
abd,Pacific Salmon Color
abd,Body Mass and Beak Length in Three Species of Finches in Kenya
abd,Powerball Tickets Sold
abd,Yeast Regulatory Genes
abd,Heritability of Body Condition in Dung Beetles
abd,Testosterone Levels in Blackbirds
abd,Multiple Mating in Pseudoscorpions
abd,Tetrodotoxin Resistance in Garter Snakes
abd,GlidingSnakes
abd,Daphnia Resistance to Cyanobacteria
abd,Climbing Vines
abd,Lifetime Reproductive Success in House Sparrows
abd,Cichlid Mating Preference
abd,Memory and the Hippocampus
abd,Hypoxanthine and Time Since Death
abd,Home Range Size and Mortality
abd,Sleep and Learning
abd,Telomere Shortening
abd,Heat Loss and Body Fat
abd,Syrup Swimming
abd,Frequencies of Fish Eaten by Trematode Infection Level
abd,Human Body Temperature
abd,Mouse Empathy
abd,Zooplankton Depredation
abd,Ambient Temperature and O-Ring Failures
abd,Distribution of Wrasses
abd,"Presidential ""Wills"""
abd,Testes Size in Flies
abd,Atlantic Cod Recruits
abd,Daphnia Longevity
